System,PBE-D3BJ Error,NN_PBE Error,XAlpha Error,NN_XAlpha Error,Database
Amino20x4-13,0.61,0.09,1.97,2.94,Amino20x4
Amino20x4-35,0.63,0.05,3.2,2.48,Amino20x4
Amino20x4-76,0.11,0.08,0.52,0.8,Amino20x4
BHROT27-24,0.5,0.14,1.67,1.86,BHROT27
FH51-15,4.4,1.45,9.44,12.13,FH51
FH51-40,1.19,3.39,4.99,5.54,FH51
TAUT15-10,1.46,1.61,0.47,0.65,TAUT15
ALK8-4,1.0,0.1,0.55,,ALK8
DARC-3,1.57,6.41,6.77,10.33,DARC
DARC-4,1.57,2.95,9.33,12.31,DARC
ICONF-1,0.37,0.28,0.55,0.62,ICONF
ISO34-14,0.35,0.07,0.31,0.63,ISO34
UPU23-7,0.32,2.07,,8.74,UPU23
RG18-14,0.14,0.04,0.09,0.64,RG18
BH76-55,14.14,11.69,22.33,21.44,BH76
BH76-58,9.93,9.63,15.53,16.69,BH76
BH76-59,5.06,5.34,2.17,12.39,BH76
BH76-72,8.87,8.17,11.45,14.89,BH76
BH76-73,10.27,8.03,16.3,17.6,BH76
HEAVY28-4,0.23,0.03,0.41,1.54,HEAVY28
PX13-4,10.79,8.25,19.36,18.12,PX13
G2RC-16,5.45,6.69,1.94,1.04,G2RC
G21EA-14,0.16,1.25,9.61,0.3,G21EA
ALKBDE10-5,2.36,0.78,0.83,7.06,ALKBDE10
CDIE20-5,2.57,2.39,2.82,2.21,CDIE20
YBDE18-11,8.0,12.46,0.11,6.96,YBDE18
YBDE18-12,0.05,4.91,0.17,2.25,YBDE18
BH76RC-3,13.9,13.09,15.08,24.07,BH76RC
S66-39,0.04,1.05,0.32,5.14,S66
S66-44,0.24,0.62,0.51,3.78,S66
MB16-43-31,18.07,14.26,52.92,91.09,MB16-43
G21IP-2,5.51,4.66,3.74,,G21IP
G21IP-35,7.57,8.62,27.35,25.42,G21IP
HAL59-10,0.42,0.03,0.8,2.34,HAL59
HAL59-45,4.23,2.31,8.89,11.67,HAL59
BUT14DIOL-3,0.4,0.39,0.78,0.3,BUT14DIOL
CARBHB12-7,0.62,0.32,0.94,1.82,CARBHB12
AHB21-1,4.28,2.97,8.6,9.29,AHB21
WCPT18-1,5.64,4.5,9.04,8.25,WCPT18
IL16-8,3.36,1.58,6.52,8.54,IL16
BSR36-29,4.27,7.17,0.21,9.34,BSR36
MCONF-28,0.72,0.14,1.01,4.7,MCONF
MCONF-30,0.66,1.36,0.61,2.62,MCONF
MCONF-31,0.31,0.56,1.45,4.21,MCONF
WATER27-12,33.25,2.56,,143.45,WATER27
W4-11-9,12.49,8.53,81.84,18.22,W4-11
W4-11-14,2.24,1.07,41.76,12.39,W4-11
W4-11-47,2.8,15.65,20.02,2.76,W4-11
W4-11-51,13.5,0.06,27.65,8.86,W4-11
