change,delta_avrane,delta_scf_converged,delta_wtmad,left,right
extend sum_repair by 15 epochs,-0.0040076600908689475,,0.041999999999999815,baseline,m1
extend fchem_polish by 20 epochs,-0.0024683383648165247,,-0.02800000000000047,baseline,m2
terminal Vxc 5 -> 7,-0.001148065447136637,,-0.023000000000000576,baseline,m3
drive Vxc 10 -> 12 and terminal 5 -> 7,-0.0035999801845011947,,0.011999999999999567,baseline,m4
shorter early clipped anchor,-0.0033690925950667916,,0.19199999999999928,baseline,m5
repair E_xc 3 -> 4,0.0014229482645163327,-1,0.13700000000000045,h9,e4
repair reaction scale 0.75 -> 1.0,0.011640125402000878,-1,0.1280000000000001,h9,e5
shorter repair / longer final relaxation,-0.0017822030454078819,-3,-0.0860000000000003,h9,e1
longer repair / shorter final relaxation,0.0026072483325947915,0,0.5739999999999998,h9,e2
delay repair onset 40 and end 20 epochs later,-0.010545141444117556,-1,-0.3879999999999999,h9,e3
replace E3 epochs 1-280 with smooth g=0.25 homotopy; epochs 281-500 identical,0.002750323789786624,0,0.11500000000000021,e3,s4
repair end 420 -> 440 at guard 0.00,-0.0001715749934370625,0,0.03799999999999937,s1,s2
repair end 420 -> 440 at guard 0.25,0.00013310495894192087,-1,-0.02999999999999936,s3,s4
repair end 420 -> 440 at guard 0.50,0.0010175205081480176,0,-0.038000000000000256,s5,s6
repair end 420 -> 440 at guard 0.75,0.001401495693071353,0,-0.0600000000000005,s7,s8
