e3_abs_error,mean_abs_error,n,range_abs_error,reaction,s3_abs_error,s4_abs_error,spearman_with_wtmad
1.31,1.193448275862069,29,0.8800000000000001,FH51-30,1.49,1.34,-0.799162124324103
0.89,0.5462068965517242,29,1.0499999999999998,G21EA-14,0.25,0.13,0.6986200947061275
0.0,0.20689655172413793,29,0.35,BUT14DIOL-13,0.19,0.12,0.6369682222444666
3.05,3.11,29,3.16,G21EA-25,3.48,4.18,-0.629064039408867
1.13,4.301379310344827,29,12.31,BSR36-31,0.63,0.09,0.5640394088669951
0.17,0.1986206896551724,29,0.37,S66-50,0.29,0.27,-0.5401148851696438
3.28,3.3531034482758617,29,1.44,BHPERI-11,3.08,3.0,0.46150058591256
2.84,2.1279310344827587,29,4.04,DIPCS10-7,0.73,1.13,0.41774499611542104
0.36,0.32827586206896553,29,0.77,Amino20x4-28,0.1,0.26,0.41755002788859824
0.18,0.31344827586206897,29,0.59,HAL59-57,0.4,0.36,-0.3771121979994227
0.06,0.06758620689655172,29,0.13,PNICO23-16,0.05,0.04,0.35585997453674084
11.4,12.53103448275862,29,8.240000000000002,W4-11-132,13.7,12.86,-0.3431879877494318
0.24,0.24206896551724139,29,0.57,ACONF-10,0.49,0.44,-0.33803429758801923
1.3,1.1748275862068966,29,0.42000000000000004,BHROT27-16,1.2,1.13,-0.32872435460497457
0.06,0.16379310344827586,29,0.32,HAL59-40,0.14,0.12,0.2544427466489333
0.53,0.4148275862068966,29,0.7,MCONF-1,0.27,0.36,0.21202070602844683
0.39,0.2944827586206897,29,0.26,S66-6,0.24,0.28,0.21085291785205304
2.44,2.8434482758620687,29,1.0299999999999998,BH76-5,2.83,2.83,0.20809727979799347
0.7,0.5817241379310345,29,1.29,BHROT27-26,0.45,0.62,0.16765294148828738
4.9,5.387241379310344,29,3.7300000000000004,W4-11-57,5.66,4.86,-0.14334975369458128
15.49,15.573103448275862,29,1.1899999999999995,WCPT18-15,15.38,15.37,0.13771865409327522
3.17,3.396551724137931,29,4.029999999999999,FH51-24,3.92,3.82,-0.12981894420430617
2.62,2.026551724137931,29,1.5400000000000003,DC13-1,2.02,2.08,-0.1254931576728504
0.28,0.2693103448275862,29,0.49,HEAVY28-16,0.27,0.2,0.12169288880009584
3.55,3.185862068965517,29,2.6900000000000004,W4-11-30,3.77,3.48,-0.12022666046067676
12.15,13.817586206896552,29,15.5,MB16-43-10,12.62,9.26,0.09902697451637778
5.79,6.035862068965517,29,1.2299999999999995,PX13-9,5.72,5.49,0.07646776998559733
0.49,0.6175862068965517,29,0.5499999999999999,CDIE20-9,0.57,0.56,0.06459569216166366
0.01,0.16758620689655174,29,0.55,Amino20x4-54,0.01,0.16,0.053366529977828654
24.07,24.777241379310343,29,4.050000000000001,SIE4x4-15,24.7,24.61,0.03374799877796954
