feature,n,pearson,spearman,target
late_repair_onset,22,-0.7719950071089332,-0.8190628295131,avrane
conceptual_phases,30,0.7241658634429909,0.6862067638442552,avrane
reaction_e73_160,30,0.7587343015494591,0.6834466501771453,avrane
vxc_e73_160,30,-0.7397219068285676,-0.6755626224894493,avrane
vxc_e161_240,30,-0.7058176649698807,-0.6712818508701186,avrane
conceptual_phases,30,0.6154866766839305,0.6475784160767586,wtmad
reaction_e161_240,30,0.6915742296533005,0.6146926355780856,avrane
clip_fraction_e441_500,30,0.5531980229133001,0.6040321366984289,wtmad
reaction_e441_500,30,-0.5342393598790858,-0.5980154829761342,wtmad
exc_e441_500,30,0.5349194645134039,0.597651083383551,wtmad
clip_fraction_e1_72,30,0.6908494110232899,0.5933022947120058,avrane
vxc_e1_72,30,0.6339305458655183,0.564009168923999,avrane
exc_e1_72,30,-0.5530459596160947,-0.5635427240050519,avrane
mean_vxc,30,-0.6538175041717758,-0.5454141910920757,avrane
late_repair_end,22,0.1491283374033653,0.53554024634695,wtmad
exc_e73_160,30,-0.4730909143371994,-0.5343330385982193,avrane
late_repair_onset,22,-0.5568738480652576,-0.5335179898663313,wtmad
exc_e161_240,30,-0.3023443016591478,-0.5315537251139959,avrane
reaction_e1_72,30,-0.567329043313065,-0.5167873288165334,avrane
clip_fraction_e441_500,30,0.42602983237602693,0.5041578320039714,avrane
reaction_e441_500,30,-0.4072733561062068,-0.49802780371388383,avrane
exc_e441_500,30,0.42457530370689167,0.4944320263386307,avrane
vxc_e1_72,30,0.5175002708270635,0.49423757370903587,wtmad
clip_fraction_e1_72,30,0.512778263832234,0.4503150902005475,wtmad
vxc_e281_420,30,-0.4142866035554062,-0.4306150440423509,avrane
reaction_e1_72,30,-0.44927134078424646,-0.42367010478439626,wtmad
mean_reaction,30,0.575640338871828,0.4182343310702871,avrane
vxc_e241_280,30,-0.5229890729246641,-0.4157971570132754,avrane
clipped_epochs,30,0.37484436892234546,0.38720110014469705,avrane
reaction_e241_280,30,-0.39386586324681,-0.3717524397093798,wtmad
exc_e241_280,30,0.37039920080776745,0.3406738719952565,wtmad
vxc_e441_500,30,0.26540447390204447,0.3367623729188303,wtmad
exc_e1_72,30,-0.20847685109150477,-0.32575591664650044,wtmad
reaction_e73_160,30,0.40389043198117347,0.3087089591463457,wtmad
exc_e241_280,30,0.4234602261757421,0.30427310211083186,avrane
clip_fraction_e281_420,30,-0.395293743700275,-0.2887256238728338,wtmad
late_repair_epochs,30,0.09336653371541279,0.2686834779564561,avrane
exc_e281_420,30,-0.3712525145078093,-0.2652152406946187,wtmad
vxc_e73_160,30,-0.22072983247924666,-0.24662224110573988,wtmad
reaction_e281_420,30,0.34693080066941145,0.23978212687549053,wtmad
late_repair_end,22,0.0033221101333226585,0.22910190777491668,avrane
vxc_e441_500,30,0.16350953613318966,0.2241541346557514,avrane
mean_reaction,30,0.2426435124447067,0.2153728072391863,wtmad
reaction_e281_420,30,0.31461204605266724,0.21379715389864018,avrane
mean_exc,30,-0.08667431630300626,0.17566392877835438,wtmad
exc_e281_420,30,-0.18658580696569121,-0.16897999621399992,avrane
clip_fraction_e161_240,30,0.11710993572995165,0.16149787124834747,avrane
vxc_e161_240,30,-0.1097236481318028,-0.1408773646714468,wtmad
vxc_e421_440,30,-0.21836331607314802,-0.14051335762016506,avrane
vxc_e241_280,30,0.1531907551052701,0.136585881745143,wtmad
reaction_e241_280,30,-0.05267871656309719,-0.13499260466946855,avrane
final_sum_epochs,30,0.09780196831836546,-0.10485070842919521,avrane
clip_fraction_e281_420,30,-0.15707015299561247,-0.09938874790899546,avrane
reaction_e421_440,30,-0.031124192892038324,-0.09699341398289692,wtmad
clipped_epochs,30,0.06118292171711648,0.09651904239516272,wtmad
reaction_e161_240,30,0.1041352650450828,0.09547667838442643,wtmad
exc_e421_440,30,-0.1954601804933872,-0.07249817526799128,avrane
late_repair_epochs,30,-0.14959269441576384,0.06428484224063483,wtmad
mean_exc,30,-0.17473814442749372,0.05833115192258332,avrane
final_sum_epochs,30,0.3372800584718388,-0.05299150274823257,wtmad
exc_e421_440,30,-0.06599177023772355,0.04578832122188923,wtmad
clip_fraction_e161_240,30,0.10499116261618967,0.04320325218108659,wtmad
vxc_e281_420,30,0.017661198797018496,0.04174723945832486,wtmad
reaction_e421_440,30,0.11195218617622414,0.026242249937017206,avrane
exc_e73_160,30,0.18527874192834753,0.020640580921225275,wtmad
vxc_e421_440,30,-0.0990624737427266,-0.019323568704980254,wtmad
exc_e161_240,30,0.2561208219175375,0.01880922052027227,wtmad
mean_vxc,30,-0.012349863520122916,0.0142475543795481,wtmad
